Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Albania,ALB,552.252184819181,418.45358899715,453.64407387777,536.363825095196,596.407959255952,663.783995402449,904.346640328557,694.664802792381,734.849913537668,1414.70378393053,1449.64741324695,1351.23079642883,1578.16591882688,1469.26453867857,1797.52548696885,1722.07284972507,1218.36014605619,1213.12436932179,1617.7441562046,1835.68407241763,1943.34335385842,2205.70392004668,2118.32777605579,2533.25282927106,2309.36650255581,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Algeria,DZA,536.600058452687,537.921906427685,565.643360627401,553.623563833247,556.430420639921,565.418483067398,576.063855075762,580.912674437071,624.033656781088,658.767063940344,689.23675778168,714.785126174702,736.13355840638,791.523977049704,808.608108240291,895.842391939239,867.741306436234,899.104153278558,951.703450824644,869.700188120611,1020.07053479853,1126.95701820467,1242.0638947404,1283.61043315444,1368.62151887474,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Angola,AGO,53.2605698137013,54.5438591914703,53.5918958920822,52.1541584888179,50.8095695218649,49.3809306084356,51.1702767435959,69.3288869600231,73.2745471034298,71.8932491734954,75.27115610518,82.6368863790624,86.0349418327863,95.8379620071173,87.4747784163176,109.197700740616,144.626070188282,133.239698887845,172.417592458473,189.313209352508,206.38425864202,206.685232612193,218.55392179827,278.808254957872,310.081668478241,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Argentina,ARG,1303.2185490521,1346.50272219976,1408.74042269362,1494.39096441557,1572.83418311901,1643.33025907605,1721.13868568752,1839.82168178548,1958.03875424179,2023.46157948029,2077.53957335771,2108.99040202059,2003.66751741611,2169.48754386443,2282.82256318506,2397.48653338231,2362.85310598862,2443.84413515149,2759.51327028767,2716.59821526407,2877.65265331343,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Armenia,ARM,2708.53208695307,2606.12538979238,1890.30522680446,1162.45134639286,1017.57321977299,1016.91895526098,1171.60336573001,1445.24484489601,1255.34245729892,1259.81353886271,1257.05257623189,1235.82369468516,1208.03713450113,1292.11031282364,1409.77152372425,1488.55720870583,1602.84898063298,1730.7988668593,1626.99129623342,1618.59679330269,1685.84726637846,1774.68166348922,1872.41307964772,1928.7340356416,1976.86449152748,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Australia,AUS,8527.21409414567,8522.1414720497,8558.33421774641,8717.64523889344,8837.00445278945,9027.88477036395,9151.39271739386,9338.47117606071,9837.81666658068,10097.1366338469,10260.4462435418,10712.6953616557,10899.7543499147,10527.2941878389,10657.9021169311,10571.4253428336,10617.1512876213,10972.8801492556,10749.1110606099,10791.6164803116,10726.9281831902,10627.2938650379,10407.7403070759,10220.8873013463,10071.3989785006,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Austria,AUT,6111.47652011957,6347.22009632373,6227.49804896471,6137.26946343196,6205.80490360652,6344.39308740837,6607.2229774104,6620.44786165131,6706.7086768874,6972.18981612858,7076.26948339438,7333.23195262844,7427.65644509121,7695.08003708217,7808.15779213961,7977.68159741774,8244.40195190479,8207.47473897554,8233.01483290985,7944.79609623168,8382.71115445338,8425.16775320399,8548.88219928111,8509.61158033605,8355.84195182134,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Azerbaijan,AZE,2569.82383766306,2631.02883940973,2276.06152762444,2119.73635053637,1961.94325055453,1952.02248579998,1852.89192322556,1813.67014320799,1936.93921395172,2022.48598540603,2040.4790895311,2106.47006608147,1996.70825200839,2235.45985596483,2281.94787214832,2388.38873430769,2552.28621435433,2118.21052754245,2040.76043544743,1620.3874199013,1603.43137406492,1705.4246326371,2052.65096521176,2092.53652062946,2202.39391828846,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bahrain,BHR,14972.4207507277,13533.4273414081,17450.8990567569,20228.1461599463,18969.952162143,18902.5245785027,18836.6447730247,19238.6955808919,19393.7699633002,18980.4560684146,18697.2374417029,19228.8468306363,19663.9423565194,19786.5483851072,18900.9311885162,21024.0142983698,21230.0755627556,20501.0513852529,18562.7324169198,17542.8779273104,18442.7901074861,18889.0639786086,18942.167732434,19483.653846916,19969.7361215558,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bangladesh,BGD,47.9338553114898,48.7354621356674,58.6220614399825,65.3683764141411,69.3076811359879,76.4898945303681,80.415848035002,82.4570945738381,87.6233110528387,95.9647894742057,103.364471757895,113.761258749531,121.462808517435,127.769892818488,163.160493329027,173.731814878997,194.581977608721,203.994931617816,205.932668001262,224.84300490209,245.904170868316,263.981989868186,281.443995942183,299.480350400775,317.24536995553,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Belarus,BLR,4380.75134935032,4426.01321359028,3912.70174531908,3450.22243274523,3068.36199044584,2790.02074882348,2806.61512314154,2952.92294003825,3015.40027500101,3005.3642570495,2996.30947501957,3009.40248167179,3000.7456250783,3063.05693858238,3174.05309231742,3245.37208781327,3365.98186513501,3393.90853610514,3481.74351659874,3299.4609021774,3566.17301269233,3632.87856030924,3704.30904061423,3657.12467930665,3690.1036829597,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Belgium,BEL,6380.31321975416,6655.41438110864,6850.66377253598,6881.0721430714,7176.24050686845,7379.73707904784,7527.68854493864,7701.61213093291,7913.05858037159,7944.12980731574,8247.67711254725,8267.18721595245,8311.89267946638,8411.90065701741,8576.22349653402,8509.99707308703,8683.67128500132,8614.67950346801,8521.49673953426,7903.95547887634,8393.94962326946,8028.79873139472,7988.52464388906,7989.67185263518,7709.12307788247,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
